Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
35,J Maquet,Mechanics of the knee,72,1984, Springer, Biomechanics of the Knee: With Application to the …,https://link.springer.com/chapter/10.1007/978-3-642-61731-7_4,2
68," Rutherford, CL Huble",Knee effusion affects knee mechanics and muscle activity during gait in individuals with knee osteoarthritis,71,2012, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458412008436,5
87,"Zelle, M Barink, MDW Malefijt, N Verdonschot",Thigh–calf contact: Does it affect the loading of the knee in the high-flexion range?,71,2009, Elsevier, Journal of Biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929008006672,4
78,"Khandha, K Manal, E Wellsandt…",Gait mechanics in those with/without medial compartment knee osteoarthritis 5 years after anterior cruciate ligament reconstruction,70,2017, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.23261,9
5," Fitzpatrick, CW Clary, PJ Laz…","Relative contributions of design, alignment, and loading variability in knee replacement mechanics",62,2012, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.22169,5
16," Engin, MS Korde",Biomechanics of normal and abnormal knee joint,60,1974, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/002192907490027X,1
65," Madeti, SR Chalamalasetti…",Biomechanics of knee joint—A review,58,2015, Springer, Frontiers of mechanical …,https://link.springer.com/article/10.1007/s11465-014-0306-x,6
40, Creaby,It's not all about the knee adduction moment: the role of the knee flexion moment in medial knee joint loading,58,2015, oarsijournal.com, Osteoarthritis and Cartilage,https://www.oarsijournal.com/article/S1063-4584(15)00881-X/abstract,6
61," Robbins, TB Birmingham…",Association of pain with frequency and magnitude of knee loading in knee osteoarthritis,58,2011, Wiley Online Library, Arthritis Care & …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/acr.20476,4
25," Goudakos, C König, PB Schöttle, WR Taylor…",… results in more challenging patellofemoral contact mechanics and kinematics than walking at early knee flexion under physiological-like quadriceps loading,56,2009, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929009003881,4
75," Fitzpatrick, MA Baldwin, CW Clary…",Evaluating knee replacement mechanics during ADL with PID-controlled dynamic finite element analysis,53,2014, Taylor & Francis, Computer methods in …,https://www.tandfonline.com/doi/abs/10.1080/10255842.2012.684242,5
79,"Beckwee, P Vaes, M Shahabpour…",The influence of joint loading on bone marrow lesions in the knee: a systematic review with meta-analysis,52,2015, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546514565092,5
92,"Navacchia, PJ Rullkoetter, P Schütz…",Subject‐specific modeling of muscle force and knee contact in total knee arthroplasty,51,2016, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.23171,6
72," Ali, MD Harris, S Shalhoub, LP Maletsky…",Combined measurement and modeling of specimen-specific knee mechanics for healthy and ACL-deficient conditions,49,2017, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929017302075,6
30," Murray, AC Thomas, CW Armstrong…","The associations between quadriceps muscle strength, power, and knee joint mechanics in knee osteoarthritis: a cross-sectional study",49,2015, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003315002247,5
38,"Jerban, EY Chang, J Du",Magnetic resonance imaging (MRI) studies of knee joint under mechanical loading,48,2020, Elsevier, Magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0730725X19302887,10
84,"Farrokhi, CA Voycheck, BA Klatt, JA Gustafson…",Altered tibiofemoral joint contact mechanics and kinematics in patients with knee osteoarthritis and episodic complaints of joint instability,46,2014, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003314000990,4
23," Laz, S Pal, A Fields, AJ Petrella…",Effects of knee simulator loading and alignment variability on predicted implant mechanics: a probabilistic study,45,2006, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20254,2
74," Ro, DY Lee, G Moon, S Lee, SG Seo…",Sex differences in knee joint loading: cross‐sectional study in geriatric population,44,2017, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.23374,6
6," Loverro, L Hasselquist, CL Lewis",Females and males use different hip and knee mechanics in response to symmetric military-relevant loads,40,2019, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929019304865,7
2," Logerstedt, JR Ebert, TD MacLeod…",Effects of and Response to Mechanical Loading on the Knee,36,2022, Springer, Sports Medicine,https://link.springer.com/article/10.1007/s40279-021-01579-7,12
62," Dragoo, C Phillips, JD Schmidt, SF Scanlan…",Mechanics of the anterior interval of the knee using open dynamic MRI,31,2010, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S026800331000029X,2
44,"Trad, A Barkaoui, M Chafra, JMRS Tavares",FEM analysis of the human knee joint: a review,28,2018, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-319-74158-1.pdf,4
94," Räsänen, P Tanska, ME Mononen…",Spatial variation of fixed charge density in knee joint cartilage from sodium MRI–Implication on knee joint mechanics under static loading,26,2016, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929016309861,3
69," Guess, S Razu, H Jahandar",Evaluation of knee ligament mechanics using computational models,23,0,connect.com,,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0036-1571954,0
