Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
38,"Liu, W Li",Greedy permuting method for genetic algorithm on traveling salesman problem,25,2018, ieeexplore.ieee.org, 2018 8th International Conference on Electronics …,https://ieeexplore.ieee.org/abstract/document/8473531/,4
3,"Park, S Park, S Lee, W Jung",Scalable k-nearest neighbor graph construction based on greedy filtering,19,2013, dl.acm.org, … of the 22nd International Conference on …,https://dl.acm.org/doi/abs/10.1145/2487788.2487905,2
88,"Miller, K Rose",A non-greedy approach to tree-structured clustering,17,1994, Elsevier, Pattern recognition letters,https://www.sciencedirect.com/science/article/pii/0167865594900728,1
93,"Lin, H Kooy, D Craft, N Depauw…",A Greedy reassignment algorithm for the PBS minimum monitor unit constraint,17,2016, iopscience.iop.org, Physics in Medicine & …,https://iopscience.iop.org/article/10.1088/0031-9155/61/12/4665/meta,2
84,"Li, H Zhang, J Ma, S Li, W Zhu, Y Ke",Greedy-based approach for generating anisotropic random fiber distributions of unidirectional composites and transverse mechanical properties prediction,16,2023, Elsevier, Computational Materials Science,https://www.sciencedirect.com/science/article/pii/S0927025622006772,8
12," Lindgren, S Wu, AG Dimakis",Sparse and greedy: Sparsifying submodular facility location problems,15,0,ml.org,,https://www.opt-ml.org/oldopt/papers/OPT2015_paper_21.pdf,0
9,"Eppstein, S Ha",Approximate greedy clustering and distance selection for graph metrics,15,2015, arxiv.org, arXiv preprint arXiv:1507.01555,https://arxiv.org/abs/1507.01555,2
33,"Xu, M Wang, Y Wang, D Ma",Two-stage routing with optimized guided search and greedy algorithm on proximity graph,14,2021, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121005670,4
18,Schaback,Greedy sparse linear approximations of functionals from nodal data,14,2014, Springer, Numerical Algorithms,https://link.springer.com/article/10.1007/s11075-013-9806-8,1
73,"Wøhlk, G Laporte",Computational comparison of several greedy algorithms for the minimum cost perfect matching problem on large graphs,14,2017, Elsevier, Computers & Operations Research,https://www.sciencedirect.com/science/article/pii/S0305054817301430,2
85,"Bhat, S Redner, O Bénichou",Starvation dynamics of a greedy forager,13,2017, iopscience.iop.org, Journal of Statistical Mechanics …,https://iopscience.iop.org/article/10.1088/1742-5468/aa7dfc/meta,2
36,"Yuret, M De La Maza",The greedy prepend algorithm for decision list induction,12,2006, Springer, International Symposium on Computer and …,https://link.springer.com/chapter/10.1007/11902140_6,1
49, Lee,Greedy randomized adaptive search procedure for traveling salesman problem,10,2006, oaktrust.library.tamu.edu,,https://oaktrust.library.tamu.edu/handle/1969.1/3735,1
22,"Sahalot, S Shrimali","A comparative study of brute force method, nearest neighbour and greedy algorithms to solve the travelling salesman problem",10,2014, impactjournals.us, … Journal of Research in Engineering & …,https://www.impactjournals.us/index.php/download/archives/2-77-1401959097-8.%20Eng-A%20Comparative%20study%20of%20Brute%20force%20method-Antima%20Sahalot.pdf,1
86," Maurya, GM Magar",Performance of greedy triangulation algorithm on reconstruction of coastal dune surface,10,2018, ieeexplore.ieee.org, 2018 3rd International Conference for …,https://ieeexplore.ieee.org/abstract/document/8529765/,1
