Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
60," Merican, KM Ghosh, FRY Baena…",Patellar thickness and lateral retinacular release affects patellofemoral kinematics in total knee arthroplasty,50,2014, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-012-2312-z,5
93,"Watari, D Kobsar, A Phinyomark, S Osis…",Determination of patellofemoral pain sub-groups and development of a method for predicting treatment outcome using running gait kinematics,47,2016, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003316301188,5
50,"Goto, N Aminaka, PA Gribble","Lower-extremity muscle activity, kinematics, and dynamic postural control in individuals with patellofemoral pain",32,2018, journals.humankinetics.com, Journal of sport …,https://journals.humankinetics.com/view/journals/jsr/27/6/article-p505.xml,5
94,"Zaffagnini, D Dejour, A Grassi, T Bonanzinga…",Patellofemoral anatomy and biomechanics: current concepts,59,2013, ncbi.nlm.nih.gov, Joints,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4295692/,5
35,"A Wheatley, MJ Rainbow, AL Clouthier",Patellofemoral mechanics: a review of pathomechanics and research approaches,23,2020, Springer, Current reviews in …,https://link.springer.com/article/10.1007/s12178-020-09626-y,5
21," Kaiser, MF Vignos, R Kijowski…",Effect of loading on in vivo tibiofemoral and patellofemoral kinematics of healthy and ACL-reconstructed knees,29,2017, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546517724417,4
54," Gill, SK Van de Velde, DW Wing…",Tibiofemoral and patellofemoral kinematics after reconstruction of an isolated posterior cruciate ligament injury: in vivo analysis during lunge,58,2009, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546509341829,4
9," Stiehl, RD Komistek, DA Dennis…",Kinematics of the patellofemoral joint in total knee arthroplasty,107,2001, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540301648708,4
34," Freedman, FT Sheehan",Predicting three‐dimensional patellofemoral kinematics from static imaging‐based alignment measures,47,2013, Wiley Online Library, Journal of Orthopaedic Research,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.22246,4
8," Fick, R Jiméne",Patellofemoral kinematics in patellofemoral pain syndrome: The influence of demographic factors,12,2022, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929021005790,4
37," Carlson, BP Boden…",Patellofemoral kinematics and tibial tuberosity–trochlear groove distances in female adolescents with patellofemoral pain,33,2017, journals.sagepub.com, The American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546516679139,4
92,"Leszko, A Sharma, RD Komistek, MR Mahfouz…",Comparison of in vivo patellofemoral kinematics for subjects having high-flexion total knee arthroplasty implant with patients having normal knees,40,2010, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540308010036,3
51,"Shalhoub, LP Maletsky",Variation in patellofemoral kinematics due to changes in quadriceps loading configuration during in vitro testing,28,2014, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929013004429,3
64," Lee, AP Gerken, FE Glaser, WC Kim…",Patellofemoral joint kinematics and contact pressures in total knee arthroplasty.,79,1997, journals.lww.com, … and Related Research …,https://journals.lww.com/corr/fulltext/1997/07000/Patellofemoral_Joint_Kinematics_and_Contact.33.aspx,3
20,"Laprade, R Lee",Real-time measurement of patellofemoral kinematics in asymptomatic subjects,68,2005, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016004000808,3
41,"Azmy, S Guerard, X Bonnet, F Gabrielli…",EOS® orthopaedic imaging system to study patellofemoral kinematics: Assessment of uncertainty,48,2010, Elsevier, … & Traumatology: Surgery …,https://www.sciencedirect.com/science/article/pii/S1877056809002011,3
49," Hsieh, LF Draganich, SH Ho…",The effects of removal and reconstruction of the anterior cruciate ligament on patellofemoral kinematics,74,1998, journals.sagepub.com, The American Journal …,https://journals.sagepub.com/doi/abs/10.1177/03635465980260020901,3
57,"Vandenneucker, L Labey, J Vander Sloten…",Isolated patellofemoral arthroplasty reproduces natural patellofemoral joint kinematics when the patella is resurfaced,25,2016, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-014-3415-5,3
82,von Eisenhar,Tibiofemoral and patellofemoral joint 3D-kinematics in patients with posterior cruciate ligament deficiency compared to healthy volunteers,26,2012, Springer, BMC musculoskeletal …,https://link.springer.com/article/10.1186/1471-2474-13-231,2
39," Zavatsky, PT Oppold…",Simultaneous in vitro measurement of patellofemoral kinematics and forces,46,2004, asmedigitalcollection.asme.org, J. Biomech. Eng.,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/126/3/351/450373,2
45," Kedgley, EJ McWalter, DR Wilson",The effect of coordinate system variation on in vivo patellofemoral kinematic measures,21,2015, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S0968016014002737,2
63,"Vandenneucker, L Labey, J Victor…",Patellofemoral arthroplasty influences tibiofemoral kinematics: the effect of patellar thickness,27,2014, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-014-3160-9,2
69,"Pitcairn, B Lesniak, W Anderst",In vivo validation of patellofemoral kinematics during overground gait and stair ascent,12,2018, Elsevier, Gait & posture,https://www.sciencedirect.com/science/article/pii/S0966636218302820,2
72," Moore, SE Kim, SA Banks, A Pozzi…",Normal patellofemoral kinematic patterns during daily activities in dogs,20,2016, Springer, BMC veterinary …,https://link.springer.com/article/10.1186/s12917-016-0889-z,2
87,"Yang, M Fredericson, JH Choi",The effect of patellofemoral pain syndrome on patellofemoral joint kinematics under upright weight-bearing conditions,10,2020, journals.plos.org, PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239907,2
75,"Lin, Y Tang, H Tan, D Cai",Patellofemoral kinematic characteristics in anterior cruciate ligament deficiency and reconstruction,15,2019, Springer, BMC Musculoskeletal Disorders,https://link.springer.com/article/10.1186/s12891-019-2456-9,2
76,"Dunning, SAW van de Groes, CF Buckens, M Prokop…",Fully automatic extraction of knee kinematics from dynamic CT imaging; normative tibiofemoral and patellofemoral kinematics of 100 healthy volunteers,5,2023, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016022002216,2
100," Carpenter, J Brilhault, S Majumdar, MD Ries",Magnetic resonance imaging of in vivo patellofemoral kinematics after total knee arthroplasty,40,2009, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016008002494,2
58,"Akşahin, A Güzel, AO Erdoğan…",The patellofemoral kinematics in patients with untreated developmental dislocation of the hip suffering from patellofemoral pain,10,2012, Wiley Online Library, Knee Surgery …,https://esskajournals.onlinelibrary.wiley.com/doi/abs/10.1007/s00167-011-1807-3,1
79,Andrish,The biomechanics of patellofemoral stability,48,0,connect.com,,https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0030-1247147.pdf,0
78,"Kefala, AA Ali, EM Mannen, KB Shelburne",Patellofemoral kinematics in healthy older adults during gait activities,2,2021, Elsevier, Human movement science,https://www.sciencedirect.com/science/article/pii/S0167945720306102,0
17," Nakagawa, FV Serrão, CD Maciel…",Hip and knee kinematics are associated with pain and self-reported functional status in males and females with patellofemoral pain,130,0,connect.com,,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0033-1334966,0
