Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
59,"Victor, J Bellemans",Physiologic kinematics as a concept for better flexion in TKA.,151,2006, journals.lww.com, Clinical Orthopaedics and Related …,https://journals.lww.com/corr/fulltext/2006/11000/physiologic_kinematics_as_a_concept_for_better.11.aspx,8
70," MacIntyre, NA Hill, RA Fellows, RE Ellis, DR Wilson",Patellofemoral joint kinematics in individuals with and without patellofemoral pain syndrome,221,2006, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2006/12000/patellofemoral_joint_kinematics_in_individuals.6.aspx,12
98,"Patil, CW Colwell Jr, KA Ezzet, DD D'Lima",Can normal knee kinematics be restored with unicompartmental knee replacement?,248,2005, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2005/02000/Can_Normal_Knee_Kinematics_Be_Restored_with.15.aspx,12
18,"B Koh, T Nagai, S Motojima, TC Sell…",Concepts and measurement of in vivo tibiofemoral kinematics,13,2005, Elsevier, Operative Techniques in …,https://www.sciencedirect.com/science/article/pii/S1048666604000977,1
75," Georgoulis, S Ristanis, C Moraiti, A Mitsou…",Three-dimensional kinematics of the tibiofemoral joint in ACL-deficient and reconstructed patients shows increased tibial rotation,21,2005, Elsevier, Operative Techniques in …,https://www.sciencedirect.com/science/article/pii/S1048666604000795,1
19,"Logan, E Dunstan, J Robinson…","Tibiofemoral kinematics of the anterior cruciate ligament (ACL)-deficient weightbearing, living knee employing vertical access open “interventional” multiple resonance …",157,2004, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0095399703258771,7
13," Logan, A Williams, J Lavelle…",Tibiofemoral kinematics following successful anterior cruciate ligament reconstruction using dynamic multiple resonance imaging,169,2004, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546503261702,8
30,"Li, LE DeFrate, S Zayontz, SE Park…",The effect of tibiofemoral joint kinematics on patellofemoral contact pressures under simulated muscle loads,195,2004, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2003.11.011,9
25," Incavo, ER Mullins, KM Coughlin, S Banks…",Tibiofemoral kinematic analysis of kneeling after total knee arthroplasty,68,2004, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540304003171,3
17," Ramsey, PF Wretenberg, DL Benoit…",Methodological concerns using intra-cortical pins to measure tibiofemoral kinematics,57,2003, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-003-0388-1,3
