Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
10,"Mesfar, A Shiraz",Biomechanics of the knee joint in flexion under various quadriceps forces,307,2005, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S096801600500061X,15
97," Withrow, LJ Huston, EM Wojtys, JA Ashto",Effect of varying hamstring tension on anterior cruciate ligament strain during in vitro impulsive knee flexion and compression loading,250,2008, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2008/04000/effect_of_varying_hamstring_tension_on_anterior.18.aspx,15
63," Vidmar, BM Baroni, AF Michelin, M Mezzomo…",Isokinetic eccentric training is more effective than constant load eccentric training for quadriceps rehabilitation following anterior cruciate ligament …,68,2020, Elsevier, Brazilian journal of …,https://www.sciencedirect.com/science/article/pii/S1413355519300097,14
60," Segal, NA Glass",Is quadriceps muscle weakness a risk factor for incident or progressive knee osteoarthritis?,190,2011, Taylor & Francis, The Physician and sportsmedicine,https://www.tandfonline.com/doi/abs/10.3810/psm.2011.11.1938,14
18," Blackburn, B Pietrosimone, MS Harkey…",Quadriceps Function and Gait Kinetics after Anterior Cruciate Ligament Reconstruction.,116,2016, europepmc.org, Medicine and science …,https://europepmc.org/article/med/27128669,13
79," MacWilliams, DR Wilson…","Hamstrings cocontraction reduces internal rotation, anterior translation, and anterior cruciate ligament load in weight‐bearing flexion",306,1999, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100170605,12
55,"Segal, MD Davis, AE Mikesky",Efficacy of blood flow-restricted low-load resistance training for quadriceps strengthening in men at risk of symptomatic knee osteoarthritis,118,2015, journals.sagepub.com, … orthopaedic surgery & …,https://journals.sagepub.com/doi/abs/10.1177/2151458515583088,12
1, Palmier,Association of quadriceps and hamstrings cocontraction patterns with knee joint loading,192,2009, meridian.allenpress.com, Journal of athletic …,https://meridian.allenpress.com/jat/article-abstract/44/3/256/110880,12
6," Markolf, G O'Neill, SR Jackson…",Effects of applied quadriceps and hamstrings muscle loads on forces in the anterior and posterior cruciate ligaments,261,2004, journals.sagepub.com, The American journal …,https://journals.sagepub.com/doi/abs/10.1177/0363546503262198,12
23," Begalle, LJ DiStefano…",Quadriceps and hamstrings coactivation during common therapeutic exercises,144,2012, meridian.allenpress.com, Journal of athletic …,https://meridian.allenpress.com/jat/article-abstract/47/4/396/111317,11
14,"Victor, L Labey, P Wong, B Innocenti…",The influence of muscle load on tibiofemoral knee kinematics,148,2010, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.21019,10
32,"Liikavainio, J Isolehto, HJ Helminen, J Perttunen…",Loading and gait symmetry during level and stair walking in asymptomatic subjects with knee osteoarthritis: importance of quadriceps femoris in reducing …,181,2007, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S0968016007000294,10
45," Thomas, SG McLean…",Quadriceps and hamstrings fatigue alters hip and knee mechanics,144,2010, journals.humankinetics.com, Journal of applied …,https://journals.humankinetics.com/view/journals/jab/26/2/article-p159.xml,10
37," Draganich, RJ Jaeger, AR Kralj",Coactivation of the hamstrings and quadriceps during extension of the knee.,347,1989, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1989/71070/coactivation_of_the_hamstrings_and_quadriceps.15.aspx,10
20," Draganich, JW Vahey",An in vitro study of anterior cruciate ligament strain induced by quadriceps and hamstrings forces,360,1990, Wiley Online Library, Journal of orthopaedic research,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100080107,10
3," Mikesky, A Meyer…",Relationship between quadriceps strength and rate of loading during gait in women,246,2000, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100180202,10
42,"Schatzmann, P Brunner, HU Stäubli",Effect of cyclic preconditioning on the tensile properties of human quadriceps tendons and patellar ligaments,260,1998, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s001670050224,10
84,"DeVita, J Aaboe, C Bartholdy, JM Leonardis…",Quadriceps-strengthening exercise and quadriceps and knee biomechanics during walking in knee osteoarthritis: A two-centre randomized controlled trial,69,2018, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003318300901,10
69," Powers, KY Ho, YJ Chen, RB Souza…",Patellofemoral joint stress during weight-bearing and non—weight-bearing quadriceps exercises,108,2014, jospt.org, journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2014.4936,10
29," Huberti, WC Hayes, JL Stone…",Force ratios in the quadriceps tendon and ligamentum patellae,352,1984, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100020108,9
64,"Li, LE DeFrate, S Zayontz, SE Park…",The effect of tibiofemoral joint kinematics on patellofemoral contact pressures under simulated muscle loads,194,2004, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2003.11.011,9
